Day,Date,"Leith Walk:  Vittoria (Springboard)","Princes St:  Marks & Spencer","George Street: NatWest","George Street: French Connection, FCUK","Rose Street: Tiso","Rose St: Jenners","South St Andrew Street: McDonalds","Shandwick Pl: Lothian Buses","Grassmarket: Grassmarket Hotel","High Street: Bella Italia"
Tuesday,01/01/2013,"28,470","3,975","4,676","4,800","6,647","3,275","6,240","15,184"
Wednesday,02/01/2013,"25,652","6,870","10,543","8,577","14,961","3,127","5,345","10,019"
Thursday,03/01/2013,"31,724","8,486","13,108","9,253","4,561","4,596","5,921","9,094"
Friday,04/01/2013,"46,675","9,204","12,083","9,389","7,190","4,323","6,428","9,424"
Saturday,05/01/2013,"43,005","8,283","11,455","8,998","7,773","3,248","5,346","8,324"
Sunday,06/01/2013,"23,225","3,657","5,938","4,139","3,082","1,979","3,469","5,492"
Monday,07/01/2013,"28,053","3,931","5,955","5,018","2,892","3,155","2,101","5,347"
Tuesday,08/01/2013,"26,826","5,830","6,899","5,552","5,814","4,486","3,883","5,643"
Wednesday,09/01/2013,"28,229","5,953","7,021","5,605","9,977","4,391","3,104","5,154"
Thursday,10/01/2013,"27,013","5,128","6,341","4,944","11,148","4,303","3,042","4,830"
Friday,11/01/2013,"32,641","5,999","8,771","6,812","9,795","4,469","3,459","6,463"
Saturday,12/01/2013,"39,779","8,767","12,203","8,819","15,317","3,359","5,166","7,653"
Sunday,13/01/2013,"21,380","3,419","5,037","3,555","6,405","1,506","2,749","5,073"
Monday,14/01/2013,"25,385","5,579","6,552","4,981","8,358","4,124","2,645","5,721"
Tuesday,15/01/2013,"25,421","5,946","6,661","4,771","9,660","3,377","2,716","5,201"
Wednesday,16/01/2013,"26,589","6,755","7,821","5,370","9,347","4,282","4,268","6,311"
Thursday,17/01/2013,"27,787","6,914","8,074","5,490","9,560","4,842","3,726","6,237"
Friday,18/01/2013,"29,726","7,260","7,428","6,161","10,751","4,591","4,724","6,598"
Saturday,19/01/2013,"34,964","7,484","7,815","7,888","14,687","3,240","5,547","7,614"
Sunday,20/01/2013,"20,971","4,001","4,677","3,624","7,737","1,787","3,045","5,466"
Monday,21/01/2013,"18,240","2,881","3,719","3,618","6,100","3,081","2,561","4,867"
Tuesday,22/01/2013,"23,574","5,045","4,966","4,556","7,871","3,442","2,677","5,816"
Wednesday,23/01/2013,"26,618","6,070","6,637","5,062","10,071","3,991","2,909","5,715"
Thursday,24/01/2013,"28,886","6,870","7,596","5,412","10,637","4,080","4,896","6,651"
Friday,25/01/2013,"28,105","6,494","6,789","6,324","10,798","3,334","3,723","6,753"
Saturday,26/01/2013,"40,006","8,923","10,330","9,654","13,830","3,092","5,965","9,071"
Sunday,27/01/2013,"22,097","4,321","5,120","3,982","7,782","1,694","3,626","6,425"
Monday,28/01/2013,"22,111","5,414","4,716","4,486","9,556","3,377","2,667","5,490"
Tuesday,29/01/2013,"23,972","4,966","6,070","4,783","9,990","3,579","3,059","5,845"
Wednesday,30/01/2013,"25,774","6,853","6,334","4,700","8,900","3,999","4,025","6,927"
Thursday,31/01/2013,"24,236","5,202","6,113","4,534","8,670","3,702","2,534","5,859"
